Namespace(anneal_updates=1000, batch_size=500, data_size=500, device='mps', draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=False, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
Model(
  (linear): LinearGaussian(in_features=1, out_features=128)
  (relu1): ReluGaussian(in_features=128, out_features=128)
  (out): ReluGaussian(in_features=128, out_features=2)
)
  epoch        ELBO       ll         kl    lmbda
   3440  1.078e+00  1.0785  1.077e+02   0.0000
   3460  1.079e+00  1.0786  1.077e+02   0.0000
   3480  1.079e+00  1.0788  1.077e+02   0.0000
   3500  1.079e+00  1.0790  1.077e+02   0.0000
   3520  1.079e+00  1.0792  1.077e+02   0.0000
   3540  1.079e+00  1.0794  1.078e+02   0.0000
   3560  1.080e+00  1.0795  1.078e+02   0.0000
   3580  1.080e+00  1.0797  1.078e+02   0.0000
   3600  1.080e+00  1.0798  1.078e+02   0.0000
   3620  1.080e+00  1.0799  1.078e+02   0.0000
   3640  1.080e+00  1.0801  1.079e+02   0.0000
   3660  1.080e+00  1.0802  1.079e+02   0.0000
   3680  1.080e+00  1.0804  1.079e+02   0.0000
   3700  1.081e+00  1.0806  1.079e+02   0.0000
   3720  1.081e+00  1.0807  1.079e+02   0.0000
   3740  1.081e+00  1.0809  1.080e+02   0.0000
   3760  1.081e+00  1.0810  1.080e+02   0.0000
   3780  1.081e+00  1.0811  1.080e+02   0.0000
   3800  1.081e+00  1.0812  1.080e+02   0.0000
   3820  1.081e+00  1.0814  1.080e+02   0.0000
   3840  1.082e+00  1.0816  1.081e+02   0.0000
   3860  1.082e+00  1.0817  1.081e+02   0.0000
   3880  1.082e+00  1.0820  1.081e+02   0.0000
   3900  1.082e+00  1.0822  1.081e+02   0.0000
   3920  1.082e+00  1.0823  1.081e+02   0.0000
   3940  1.082e+00  1.0825  1.082e+02   0.0000
   3960  1.083e+00  1.0826  1.082e+02   0.0000
   3980  1.083e+00  1.0827  1.082e+02   0.0000
   4000  1.083e+00  1.0828  1.082e+02   0.0000
   4020  1.083e+00  1.0830  1.082e+02   0.0000
   4040  1.083e+00  1.0832  1.083e+02   0.0000
   4060  1.083e+00  1.0833  1.083e+02   0.0000
   4080  1.083e+00  1.0834  1.083e+02   0.0000
   4100  1.084e+00  1.0835  1.083e+02   0.0000
   4120  1.084e+00  1.0836  1.083e+02   0.0000
   4140  1.084e+00  1.0837  1.084e+02   0.0000
   4160  1.084e+00  1.0838  1.084e+02   0.0000
   4180  1.084e+00  1.0839  1.084e+02   0.0000
   4200  1.084e+00  1.0840  1.084e+02   0.0000
   4220  1.084e+00  1.0841  1.084e+02   0.0000
   4240  1.084e+00  1.0842  1.085e+02   0.0000
   4260  1.084e+00  1.0843  1.085e+02   0.0000
   4280  1.084e+00  1.0844  1.085e+02   0.0000
   4300  1.085e+00  1.0845  1.085e+02   0.0000
   4320  1.085e+00  1.0846  1.085e+02   0.0000
   4340  1.085e+00  1.0847  1.086e+02   0.0000
   4360  1.085e+00  1.0848  1.086e+02   0.0000
   4380  1.085e+00  1.0849  1.086e+02   0.0000
   4400  1.085e+00  1.0850  1.086e+02   0.0000
   4420  1.085e+00  1.0851  1.086e+02   0.0000
   4440  1.085e+00  1.0852  1.087e+02   0.0000
   4460  1.085e+00  1.0852  1.087e+02   0.0000
   4480  1.085e+00  1.0853  1.087e+02   0.0000
   4500  1.085e+00  1.0854  1.087e+02   0.0000
   4520  1.086e+00  1.0855  1.087e+02   0.0000
   4540  1.086e+00  1.0856  1.088e+02   0.0000
   4560  1.086e+00  1.0857  1.088e+02   0.0000
   4580  1.086e+00  1.0858  1.088e+02   0.0000
   4600  1.086e+00  1.0859  1.088e+02   0.0000
   4620  1.086e+00  1.0860  1.089e+02   0.0000
   4640  1.086e+00  1.0861  1.089e+02   0.0000
   4660  1.086e+00  1.0862  1.089e+02   0.0000
   4680  1.086e+00  1.0863  1.089e+02   0.0000
   4700  1.086e+00  1.0864  1.089e+02   0.0000
   4720  1.086e+00  1.0865  1.090e+02   0.0000
   4740  1.087e+00  1.0865  1.090e+02   0.0000
   4760  1.087e+00  1.0866  1.090e+02   0.0000
   4780  1.087e+00  1.0867  1.090e+02   0.0000
   4800  1.087e+00  1.0867  1.090e+02   0.0000
   4820  1.087e+00  1.0868  1.091e+02   0.0000
   4840  1.087e+00  1.0869  1.091e+02   0.0000
   4860  1.087e+00  1.0870  1.091e+02   0.0000
   4880  1.087e+00  1.0870  1.091e+02   0.0000
   4900  1.087e+00  1.0871  1.091e+02   0.0000
   4920  1.087e+00  1.0872  1.092e+02   0.0000
   4940  1.087e+00  1.0873  1.092e+02   0.0000
   4960  1.087e+00  1.0874  1.092e+02   0.0000
   4980  1.087e+00  1.0874  1.092e+02   0.0000
   5000  1.087e+00  1.0875  1.092e+02   0.0000
   5020  1.186e+00  1.1864  1.093e+02   0.0000
   5040  1.199e+00  1.1988  1.093e+02   0.0000
   5060  1.198e+00  1.1978  1.093e+02   0.0000
   5080  1.202e+00  1.2019  1.093e+02   0.0000
   5100  1.204e+00  1.2043  1.093e+02   0.0000
   5120  1.205e+00  1.2047  1.093e+02   0.0000
   5140  1.205e+00  1.2047  1.093e+02   0.0000
   5160  1.204e+00  1.2045  1.094e+02   0.0000
   5180  1.204e+00  1.2044  1.094e+02   0.0000
   5200  1.204e+00  1.2043  1.094e+02   0.0000
   5220  1.204e+00  1.2044  1.094e+02   0.0000
   5240  1.204e+00  1.2044  1.094e+02   0.0000
   5260  1.204e+00  1.2045  1.094e+02   0.0000
   5280  1.205e+00  1.2045  1.095e+02   0.0000
   5300  1.205e+00  1.2046  1.095e+02   0.0000
   5320  1.205e+00  1.2046  1.095e+02   0.0000
   5340  1.205e+00  1.2047  1.095e+02   0.0000
   5360  1.205e+00  1.2048  1.095e+02   0.0000
   5380  1.205e+00  1.2049  1.095e+02   0.0000
   5400  1.205e+00  1.2050  1.095e+02   0.0000
   5420  1.205e+00  1.2051  1.096e+02   0.0000
   5440  1.205e+00  1.2052  1.096e+02   0.0000
   5460  1.205e+00  1.2053  1.096e+02   0.0000
   5480  1.205e+00  1.2054  1.096e+02   0.0000
   5500  1.205e+00  1.2055  1.096e+02   0.0000
   5520  1.206e+00  1.2056  1.096e+02   0.0000
   5540  1.206e+00  1.2057  1.096e+02   0.0000
   5560  1.206e+00  1.2058  1.097e+02   0.0000
   5580  1.206e+00  1.2059  1.097e+02   0.0000
   5600  1.206e+00  1.2060  1.097e+02   0.0000
   5620  1.206e+00  1.2061  1.097e+02   0.0000
   5640  1.206e+00  1.2063  1.097e+02   0.0000
   5660  1.206e+00  1.2064  1.097e+02   0.0000
   5680  1.206e+00  1.2065  1.097e+02   0.0000
   5700  1.207e+00  1.2066  1.098e+02   0.0000
   5720  1.207e+00  1.2067  1.098e+02   0.0000
   5740  1.207e+00  1.2067  1.098e+02   0.0000
   5760  1.207e+00  1.2068  1.098e+02   0.0000
   5780  1.207e+00  1.2069  1.098e+02   0.0000
   5800  1.207e+00  1.2070  1.098e+02   0.0000
   5820  1.207e+00  1.2071  1.098e+02   0.0000
   5840  1.207e+00  1.2071  1.099e+02   0.0000
   5860  1.207e+00  1.2072  1.099e+02   0.0000
   5880  1.207e+00  1.2073  1.099e+02   0.0000
   5900  1.207e+00  1.2074  1.099e+02   0.0000
   5920  1.207e+00  1.2074  1.099e+02   0.0000
   5940  1.207e+00  1.2075  1.099e+02   0.0000
   5960  1.208e+00  1.2076  1.099e+02   0.0000
   5980  1.208e+00  1.2076  1.100e+02   0.0000
   6000  1.208e+00  1.2077  1.100e+02   0.0000
   6020  1.208e+00  1.2078  1.100e+02   0.0000
   6040  1.208e+00  1.2079  1.100e+02   0.0000
   6060  1.208e+00  1.2079  1.100e+02   0.0000
   6080  1.208e+00  1.2080  1.100e+02   0.0000
   6100  1.208e+00  1.2080  1.100e+02   0.0000
   6120  1.208e+00  1.2081  1.100e+02   0.0000
   6140  1.208e+00  1.2081  1.101e+02   0.0000
   6160  1.208e+00  1.2082  1.101e+02   0.0000
   6180  1.208e+00  1.2083  1.101e+02   0.0000
   6200  1.208e+00  1.2084  1.101e+02   0.0000
   6220  1.208e+00  1.2084  1.101e+02   0.0000
   6240  1.209e+00  1.2085  1.101e+02   0.0000
   6260  1.209e+00  1.2086  1.101e+02   0.0000
   6280  1.209e+00  1.2087  1.102e+02   0.0000
   6300  1.209e+00  1.2088  1.102e+02   0.0000
   6320  1.209e+00  1.2088  1.102e+02   0.0000
   6340  1.209e+00  1.2089  1.102e+02   0.0000
   6360  1.209e+00  1.2089  1.102e+02   0.0000
   6380  1.209e+00  1.2090  1.102e+02   0.0000
   6400  1.209e+00  1.2091  1.102e+02   0.0000
   6420  1.209e+00  1.2091  1.103e+02   0.0000
   6440  1.209e+00  1.2092  1.103e+02   0.0000
   6460  1.209e+00  1.2092  1.103e+02   0.0000
   6480  1.209e+00  1.2093  1.103e+02   0.0000
   6500  1.209e+00  1.2093  1.103e+02   0.0000
   6520  1.209e+00  1.2094  1.103e+02   0.0000
   6540  1.209e+00  1.2094  1.103e+02   0.0000
   6560  1.209e+00  1.2095  1.104e+02   0.0000
   6580  1.210e+00  1.2095  1.104e+02   0.0000
   6600  1.210e+00  1.2096  1.104e+02   0.0000
   6620  1.210e+00  1.2097  1.104e+02   0.0000
   6640  1.210e+00  1.2098  1.104e+02   0.0000
   6660  1.210e+00  1.2099  1.104e+02   0.0000
   6680  1.210e+00  1.2099  1.105e+02   0.0000
   6700  1.210e+00  1.2100  1.105e+02   0.0000
   6720  1.210e+00  1.2101  1.105e+02   0.0000
   6740  1.210e+00  1.2102  1.105e+02   0.0000
   6760  1.210e+00  1.2103  1.105e+02   0.0000
   6780  1.210e+00  1.2104  1.105e+02   0.0000
   6800  1.210e+00  1.2105  1.106e+02   0.0000
   6820  1.211e+00  1.2105  1.106e+02   0.0000
   6840  1.211e+00  1.2106  1.106e+02   0.0000
   6860  1.211e+00  1.2106  1.106e+02   0.0000
   6880  1.211e+00  1.2107  1.106e+02   0.0000
   6900  1.211e+00  1.2107  1.106e+02   0.0000
   6920  1.211e+00  1.2108  1.107e+02   0.0000
   6940  1.211e+00  1.2109  1.107e+02   0.0000
   6960  1.211e+00  1.2109  1.107e+02   0.0000
   6980  1.211e+00  1.2110  1.107e+02   0.0000
   7000  1.211e+00  1.2111  1.107e+02   0.0000
   7020  1.211e+00  1.2111  1.108e+02   0.0000
   7040  1.211e+00  1.2112  1.108e+02   0.0000
   7060  1.211e+00  1.2113  1.108e+02   0.0000
   7080  1.211e+00  1.2114  1.108e+02   0.0000
   7100  1.211e+00  1.2114  1.108e+02   0.0000
   7120  1.212e+00  1.2115  1.109e+02   0.0000
   7140  1.212e+00  1.2116  1.109e+02   0.0000
   7160  1.212e+00  1.2117  1.109e+02   0.0000
   7180  1.212e+00  1.2118  1.109e+02   0.0000
   7200  1.212e+00  1.2119  1.109e+02   0.0000
   7220  1.212e+00  1.2119  1.110e+02   0.0000
   7240  1.212e+00  1.2120  1.110e+02   0.0000
   7260  1.212e+00  1.2121  1.110e+02   0.0000
   7280  1.212e+00  1.2122  1.110e+02   0.0000
   7300  1.212e+00  1.2123  1.110e+02   0.0000
   7320  1.212e+00  1.2124  1.110e+02   0.0000
   7340  1.212e+00  1.2125  1.111e+02   0.0000
   7360  1.213e+00  1.2125  1.111e+02   0.0000
   7380  1.213e+00  1.2126  1.111e+02   0.0000
   7400  1.213e+00  1.2127  1.111e+02   0.0000
   7420  1.213e+00  1.2128  1.111e+02   0.0000
   7440  1.213e+00  1.2128  1.112e+02   0.0000
   7460  1.213e+00  1.2129  1.112e+02   0.0000
   7480  1.213e+00  1.2130  1.112e+02   0.0000
   7500  1.213e+00  1.2131  1.112e+02   0.0000
   7520  1.213e+00  1.2132  1.112e+02   0.0000
   7540  1.213e+00  1.2132  1.113e+02   0.0000
   7560  1.213e+00  1.2133  1.113e+02   0.0000
   7580  1.213e+00  1.2134  1.113e+02   0.0000
   7600  1.213e+00  1.2135  1.113e+02   0.0000
   7620  1.214e+00  1.2136  1.113e+02   0.0000
   7640  1.214e+00  1.2137  1.113e+02   0.0000
   7660  1.214e+00  1.2137  1.114e+02   0.0000
   7680  1.214e+00  1.2138  1.114e+02   0.0000
   7700  1.214e+00  1.2139  1.114e+02   0.0000
   7720  1.214e+00  1.2140  1.114e+02   0.0000
   7740  1.214e+00  1.2141  1.114e+02   0.0000
   7760  1.214e+00  1.2141  1.115e+02   0.0000
   7780  1.214e+00  1.2142  1.115e+02   0.0000
   7800  1.214e+00  1.2143  1.115e+02   0.0000
   7820  1.214e+00  1.2143  1.115e+02   0.0000
   7840  1.214e+00  1.2144  1.115e+02   0.0000
   7860  1.214e+00  1.2145  1.115e+02   0.0000
   7880  1.215e+00  1.2146  1.116e+02   0.0000
   7900  1.215e+00  1.2146  1.116e+02   0.0000
   7920  1.215e+00  1.2147  1.116e+02   0.0000
   7940  1.215e+00  1.2148  1.116e+02   0.0000
   7960  1.215e+00  1.2148  1.116e+02   0.0000
