t,ELBO,ll,kl,lmbda
3000,0.9185067415237427,0.9185067415237427,107.19508361816406,0.0
3020,0.9972776770591736,0.9972776770591736,107.21695709228516,0.0
3040,1.0610849857330322,1.0610849857330322,107.240234375,0.0
3060,1.050538420677185,1.050538420677185,107.25770568847656,0.0
3080,1.0713608264923096,1.0713608264923096,107.28158569335938,0.0
3100,1.074235200881958,1.074235200881958,107.30331420898438,0.0
3120,1.0756118297576904,1.0756118297576904,107.3243408203125,0.0
3140,1.0752896070480347,1.0752896070480347,107.34539031982422,0.0
3160,1.074813961982727,1.074813961982727,107.3663558959961,0.0
3180,1.0750622749328613,1.0750622749328613,107.386962890625,0.0
3200,1.0753360986709595,1.0753360986709595,107.40740966796875,0.0
3220,1.0756467580795288,1.0756467580795288,107.42781066894531,0.0
3240,1.0761899948120117,1.0761899948120117,107.44835662841797,0.0
3260,1.0767086744308472,1.0767086744308472,107.4691390991211,0.0
3280,1.0769412517547607,1.0769412517547607,107.48980712890625,0.0
3300,1.0771918296813965,1.0771918296813965,107.51018524169922,0.0
3320,1.0774388313293457,1.0774388313293457,107.53031921386719,0.0
3340,1.0776724815368652,1.0776724815368652,107.55027770996094,0.0
3360,1.0778781175613403,1.0778781175613403,107.57044219970703,0.0
3380,1.077964425086975,1.077964425086975,107.59075164794922,0.0
3400,1.078116774559021,1.078116774559021,107.61101531982422,0.0
3420,1.0782933235168457,1.0782933235168457,107.63118743896484,0.0
3440,1.0784651041030884,1.0784651041030884,107.65130615234375,0.0
3460,1.0786314010620117,1.0786314010620117,107.6713638305664,0.0
3480,1.0788010358810425,1.0788010358810425,107.69136047363281,0.0
3500,1.0789836645126343,1.0789836645126343,107.71131134033203,0.0
3520,1.0791881084442139,1.0791881084442139,107.73129272460938,0.0
3540,1.0793945789337158,1.0793945789337158,107.75135040283203,0.0
3560,1.0795425176620483,1.0795425176620483,107.77149963378906,0.0
3580,1.0796557664871216,1.0796557664871216,107.79173278808594,0.0
3600,1.0797940492630005,1.0797940492630005,107.81199645996094,0.0
3620,1.0799351930618286,1.0799351930618286,107.83229064941406,0.0
3640,1.080073595046997,1.080073595046997,107.85263061523438,0.0
3660,1.0802202224731445,1.0802202224731445,107.87295532226562,0.0
3680,1.0803906917572021,1.0803906917572021,107.89324951171875,0.0
3700,1.0805596113204956,1.0805596113204956,107.9134521484375,0.0
3720,1.080722451210022,1.080722451210022,107.9336166381836,0.0
3740,1.0808534622192383,1.0808534622192383,107.95377349853516,0.0
3760,1.0809612274169922,1.0809612274169922,107.97393035888672,0.0
3780,1.0810916423797607,1.0810916423797607,107.99405670166016,0.0
3800,1.081243872642517,1.081243872642517,108.01419067382812,0.0
3820,1.0814094543457031,1.0814094543457031,108.03433990478516,0.0
3840,1.081571102142334,1.081571102142334,108.05464172363281,0.0
3860,1.0817497968673706,1.0817497968673706,108.07513427734375,0.0
3880,1.0819764137268066,1.0819764137268066,108.09561920166016,0.0
3900,1.0821830034255981,1.0821830034255981,108.11603546142578,0.0
3920,1.0823450088500977,1.0823450088500977,108.13639068603516,0.0
3940,1.0824682712554932,1.0824682712554932,108.15674591064453,0.0
3960,1.082573413848877,1.082573413848877,108.17711639404297,0.0
3980,1.0826849937438965,1.0826849937438965,108.19752502441406,0.0
4000,1.0828310251235962,1.0828310251235962,108.21802520751953,0.0
4020,1.0829987525939941,1.0829987525939941,108.23851776123047,0.0
4040,1.083151936531067,1.083151936531067,108.25900268554688,0.0
4060,1.0832735300064087,1.0832735300064087,108.27944946289062,0.0
4080,1.0833872556686401,1.0833872556686401,108.29988098144531,0.0
4100,1.0835126638412476,1.0835126638412476,108.3203125,0.0
4120,1.083619475364685,1.083619475364685,108.34073638916016,0.0
4140,1.0837208032608032,1.0837208032608032,108.36116790771484,0.0
4160,1.083822250366211,1.083822250366211,108.38159942626953,0.0
4180,1.0839227437973022,1.0839227437973022,108.40201568603516,0.0
4200,1.084022045135498,1.084022045135498,108.42244720458984,0.0
4220,1.0841232538223267,1.0841232538223267,108.44287872314453,0.0
4240,1.0842186212539673,1.0842186212539673,108.46332550048828,0.0
4260,1.0843169689178467,1.0843169689178467,108.4837646484375,0.0
4280,1.0844155550003052,1.0844155550003052,108.50421905517578,0.0
4300,1.0845130681991577,1.0845130681991577,108.52467346191406,0.0
