Namespace(anneal_updates=1000, batch_size=500, data_size=500, device=device(type='cpu'), draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=True, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
  epoch        ELBO       ll         kl    lmbda
   8760  6.387e-01  0.6387  1.122e+02   0.0000
   8780  6.394e-01  0.6394  1.122e+02   0.0000
   8800  6.403e-01  0.6403  1.122e+02   0.0000
   8820  6.412e-01  0.6412  1.122e+02   0.0000
   8840  6.421e-01  0.6421  1.122e+02   0.0000
   8860  6.430e-01  0.6430  1.123e+02   0.0000
   8880  6.441e-01  0.6441  1.123e+02   0.0000
   8900  6.471e-01  0.6471  1.123e+02   0.0000
   8920  6.484e-01  0.6484  1.123e+02   0.0000
   8940  6.492e-01  0.6492  1.123e+02   0.0000
   8960  6.497e-01  0.6497  1.123e+02   0.0000
   8980  6.499e-01  0.6499  1.123e+02   0.0000
   9000  6.502e-01  0.6502  1.124e+02   0.0000
   9020  9.635e-01  0.9635  1.124e+02   0.0000
   9040  1.020e+00  1.0201  1.124e+02   0.0000
   9060  1.027e+00  1.0269  1.124e+02   0.0000
   9080  1.081e+00  1.0813  1.124e+02   0.0000
   9100  1.095e+00  1.0955  1.124e+02   0.0000
   9120  1.069e+00  1.0689  1.124e+02   0.0000
   9140  1.096e+00  1.0958  1.124e+02   0.0000
   9160  1.109e+00  1.1085  1.124e+02   0.0000
   9180  1.074e+00  1.0741  1.124e+02   0.0000
   9200  1.103e+00  1.1029  1.124e+02   0.0000
   9220  1.115e+00  1.1150  1.124e+02   0.0000
   9240  1.077e+00  1.0767  1.125e+02   0.0000
   9260  1.108e+00  1.1075  1.125e+02   0.0000
   9280  1.120e+00  1.1199  1.125e+02   0.0000
   9300  1.079e+00  1.0788  1.125e+02   0.0000
   9320  1.112e+00  1.1116  1.125e+02   0.0000
   9340  1.124e+00  1.1242  1.125e+02   0.0000
   9360  1.081e+00  1.0806  1.125e+02   0.0000
   9380  1.116e+00  1.1156  1.125e+02   0.0000
   9400  1.128e+00  1.1285  1.125e+02   0.0000
   9420  1.082e+00  1.0819  1.125e+02   0.0000
   9440  1.120e+00  1.1197  1.125e+02   0.0000
   9460  1.132e+00  1.1324  1.125e+02   0.0000
   9480  1.084e+00  1.0836  1.125e+02   0.0000
   9500  1.123e+00  1.1226  1.125e+02   0.0000
   9520  1.135e+00  1.1354  1.125e+02   0.0000
   9540  1.085e+00  1.0853  1.125e+02   0.0000
   9560  1.125e+00  1.1250  1.126e+02   0.0000
   9580  1.138e+00  1.1379  1.126e+02   0.0000
